0:00:21.974703,0:00:43.740605,0:01:04.023528,0:01:25.497693,0:01:46.063049,0:02:08.629726,0:02:29.221108,0:02:50.781852,0:03:11.367370,0:03:32.770268,0:03:53.396116,0:04:14.982488,0:04:35.412333,0:04:56.636548,0:05:18.617843,0:05:40.147704,0:06:00.859085,0:06:22.759017,0:06:43.220932,0:07:04.623400,0:07:25.020766,0:07:46.246734,0:08:06.682154,0:08:29.319300,0:08:50.506844,0:09:12.019175,0:09:33.251216,0:09:55.131665,0:10:15.600123,0:10:37.223964,0:10:57.574124,0:11:20.605849,0:11:41.090762,0:12:02.725590,0:12:23.880592,0:12:45.887931,0:13:06.106177,0:13:27.524800,0:13:47.820551,0:14:09.273903,0:14:31.142600,0:14:52.967836,0:15:13.834391,0:15:35.398359,0:15:55.791410,0:16:17.181050,0:16:37.794676,0:16:59.198912,0:17:19.538054,0:17:42.268203
-1056.13557451252,-1076.8059233625684,-1213.7433434982217,-1681.2305886342958,-1763.0076352142785,-1755.0610013688165,-1497.3539557190425,-1403.1776889464122,-1335.9704496408406,-1490.2860140550456,-1279.305589693791,-1196.8368957960759,-1251.2946717330365,-1245.2154419741441,-1072.0663607100996,-1018.4319293105241,-1031.2018297100756,-383.26716538275184,-264.44758234452627,-260.2632870696334,-485.59031992990015,-377.41083905272114,-118.20767538691973,-365.8484842035528,-127.87126892428365,-237.1387787931166,-354.8626820361375,-391.20322410261224,-1.551393370247949,-130.0806931230332,-235.36085548834654,-119.57064049000435,-0.3527783571733326,-234.50720881945955,-123.3030823111643,-121.71365999371415,-131.19518560895798,-126.4834746766253,-121.29749695401675,-254.8325779943711,-355.742055427209,-119.47635713340732,-329.5060054296152,-118.0961188280581,-132.63391871876698,-130.8772430398489,-7.168955784273715,-265.84301000962034,-119.15750258839806,-114.38435927201688
0:00:20.665145,0:00:41.992802,0:01:02.130471,0:01:23.336521,0:01:43.394700,0:02:04.908501,0:02:25.134771,0:02:46.470488,0:03:08.420728,0:03:28.904253,0:03:50.127577,0:04:10.791494,0:04:32.075344,0:04:53.009933,0:05:14.134189,0:05:34.630420,0:05:56.352851,0:06:19.368549,0:06:40.630287,0:07:02.999629,0:07:24.083956,0:07:46.046994,0:08:06.844289,0:08:28.442948,0:08:49.961586,0:09:12.259432,0:09:34.155688,0:09:56.399987,0:10:17.210713,0:10:39.472528,0:11:01.586038,0:11:22.819311,0:11:44.996429,0:12:06.268341,0:12:28.541015,0:12:50.214427,0:13:11.827570,0:13:32.439640,0:13:53.997849,0:14:14.390610,0:14:35.966771,0:14:56.824086,0:15:18.835564,0:15:39.664421,0:16:02.370250,0:16:22.640433,0:16:44.348364,0:17:04.516567,0:17:26.024629,0:17:46.771963
-1553.9681879179602,-1449.540119902113,-1700.0781636366503,-1647.5329402484333,-1722.5360187381912,-1609.6666891358595,-1562.3264069967604,-1459.5714912776825,-1567.2331264326697,-1239.604384421333,-1064.4912506396258,-1045.6962429858124,-1022.011695809743,-247.47302058436003,-385.0326928019149,-133.58329218555357,-138.514589392063,-250.83964551230403,-245.11070146225282,-375.11417795705205,-259.11830529623296,-379.0271656947437,-252.98782255063617,-1.200535296125131,-253.94272661191644,-266.43870698018594,-128.16229966985858,-377.565223721912,-250.98058944631433,-126.1927591176533,-3.194350309637026,-120.90850600100153,-123.7345840701252,-120.81686659789021,-242.28706308923074,-113.93395144002558,-114.89737324408267,-1.4593488817975753,-132.5337890713643,-1.2649237820361972,-123.32882668732007,-125.8635704239618,-125.79285215237762,-131.37472779138187,-503.0478306788942,-125.02220106220362,-373.11939417841165,-122.16567746700575,-121.99833137512448,-6.313744861628595
0:00:21.344357,0:00:41.440730,0:01:02.681524,0:01:23.689520,0:01:45.489873,0:02:06.125021,0:02:27.763176,0:02:48.823466,0:03:11.542314,0:03:33.196372,0:03:55.284475,0:04:17.922693,0:04:38.385544,0:05:01.777322,0:05:23.297240,0:05:45.382118,0:06:06.701772,0:06:29.063020,0:06:49.901840,0:07:11.393848,0:07:32.643154,0:07:54.665117,0:08:16.202328,0:08:37.369292,0:08:57.661235,0:09:18.802909,0:09:38.903395,0:10:00.350783,0:10:20.751343,0:10:42.142798,0:11:02.647735,0:11:25.541704,0:11:46.097609,0:12:07.213060,0:12:27.841462,0:12:48.402849,0:13:09.164963,0:13:30.321872,0:13:51.955320,0:14:14.728024,0:14:36.408963,0:15:00.152502,0:15:21.733824,0:15:44.389389,0:16:07.178620,0:16:28.192179,0:16:49.812263,0:17:10.268696,0:17:31.361221,0:17:51.462583
-1803.176135225594,-1509.164416741799,-714.141677313093,-1377.8318564596161,-1606.235095137235,-839.2676412184705,-1495.4170917149718,-1066.896440232618,-1393.9097081116686,-1222.6650762658198,-1230.9065522963463,-1616.274060126479,-1486.982031002504,-663.5126925495427,-932.3489090957981,-659.6946139659486,-522.2671926172984,-391.049610774621,-1495.6582372837115,-1571.8046383835244,-1485.2109358982345,-1086.6273019138446,-528.4716766393088,-379.79628405340907,-365.9628992024434,-2.7928079886476658,-127.20913286717848,-121.8803756060952,-1492.858259026809,-6.1802126122787575,-3.353586907402318,-129.42791817119914,-3.7068124607628756,-124.6097192693885,-235.45511506464953,-249.4163658868223,-126.72785330042984,-127.82549490836986,-468.4643454529355,-126.47591561063285,-232.36060307947287,-126.09813418247202,-115.16167053873434,-238.64730566446164,-125.49961100902121,-125.51772599913409,-125.82553608267142,-122.02499925969944,-244.48296805255302,-232.9057530225357
0:00:22.138876,0:00:43.749185,0:01:05.752565,0:01:25.970413,0:01:46.974193,0:02:07.724971,0:02:28.474137,0:02:49.263154,0:03:10.211396,0:03:32.339873,0:03:55.277622,0:04:17.164786,0:04:38.952643,0:05:00.765315,0:05:23.103893,0:05:44.176353,0:06:06.686088,0:06:27.445372,0:06:49.391758,0:07:12.410399,0:07:34.073843,0:07:55.244691,0:08:17.060094,0:08:39.210463,0:09:00.961004,0:09:23.309652,0:09:44.538257,0:10:06.413109,0:10:27.925401,0:10:49.528804,0:11:09.985968,0:11:31.083934,0:11:51.643921,0:12:12.688017,0:12:33.309072,0:12:54.582891,0:13:14.506894,0:13:35.967672,0:13:57.486272,0:14:18.823162,0:14:39.712479,0:15:00.872103,0:15:21.360648,0:15:43.352677,0:16:03.993288,0:16:25.471534,0:16:46.206327,0:17:08.025339,0:17:29.244476,0:17:50.600094
-885.0926515944532,-1089.9945577281417,-1281.7376950712664,-1395.976317671626,-1528.201870230064,-1493.7369978196741,-1390.4837274780075,-1404.2771973201293,-1501.1509270727086,-917.0703775461782,-661.6763504435288,-139.50849631792727,-400.32515323901714,-557.5661414826145,-486.0782267882204,-126.38439243570082,-323.2624118613803,-1072.021927110371,-253.2694116666119,-126.96902451958479,-244.39012027192734,-0.9068262880872094,-250.7644331104562,-337.85422285826536,-122.38866713401451,-1.6950313336705676,-118.89348303119483,-128.5870712702981,-124.88854183847224,-133.86348201444417,-15.344664709743117,-247.08767761795502,-511.35323183793895,-362.484492121807,-126.48081639662294,-244.7158590397742,-258.3398162521326,-241.2808140826729,-130.69147655836818,-241.4179838025679,-129.28513816510394,-354.2257096086649,-361.79101617346674,-350.1145171965352,-125.68482890179942,-235.42327635501428,-324.16781523017187,-127.76875473346554,-125.38632494989996,-121.85515697035977
0:00:20.910754,0:00:43.650837,0:01:04.893077,0:01:27.408589,0:01:48.971775,0:02:10.540579,0:02:32.352322,0:02:54.582396,0:03:17.207814,0:03:38.345559,0:04:00.360489,0:04:20.867745,0:04:42.159090,0:05:02.907863,0:05:24.352340,0:05:44.731674,0:06:07.545458,0:06:27.699696,0:06:49.726574,0:07:10.179577,0:07:32.214449,0:07:53.325167,0:08:15.603116,0:08:36.183234,0:08:57.911514,0:09:18.873727,0:09:42.349814,0:10:04.344930,0:10:27.307888,0:10:49.438130,0:11:10.972465,0:11:33.758809,0:11:55.065100,0:12:17.758972,0:12:39.168522,0:13:01.788070,0:13:23.363597,0:13:44.539157,0:14:06.343933,0:14:27.600881,0:14:49.668958,0:15:10.471160,0:15:31.925548,0:15:52.773196,0:16:16.651313,0:16:37.082627,0:16:58.876976,0:17:18.795225,0:17:39.797843,0:17:59.941318
-1053.4820028103331,-1155.2072555224295,-1584.1886510672437,-1575.4488058310399,-1856.7827941580438,-1731.8661705297138,-1481.9340533029876,-1279.5038128431747,-1377.5473648544194,-1630.2375493917903,-1067.6251413530981,-1007.2136747346652,-759.546033371048,-874.7877752451211,-551.5697304361796,-541.1297804764606,-260.1340705089007,-376.9779792141229,-251.67135954142654,-368.8387497198825,-124.87152484993165,-121.7188526381744,-126.62039609622738,-125.47582001997144,-129.6505080623216,-252.31945971059,-115.72313424561425,-120.34245243296884,-119.05824339039462,-236.08156131605918,-301.4370248572884,-228.2616226174352,-235.60815071579876,-126.48278802818777,-123.83924308027323,-122.27899628103272,-121.08675645508158,-121.54506320393655,-243.31615412993543,-253.48468869987943,-5.976640976671769,-383.2605945367332,-386.06677678913917,-131.01204361367488,-124.14789146767113,-330.8521636058256,-571.7855227932702,-237.16682386203473,-232.97485278862294,-114.91921419369439
0:00:21.206077,0:00:41.834096,0:01:02.361267,0:01:23.402361,0:01:45.085884,0:02:06.489850,0:02:26.557476,0:02:47.656280,0:03:07.884385,0:03:29.266585,0:03:49.197662,0:04:10.316422,0:04:30.119566,0:04:52.019390,0:05:12.786697,0:05:34.027247,0:05:54.658482,0:06:15.834352,0:06:36.087635,0:06:57.254494,0:07:17.581074,0:07:38.957295,0:07:59.710747,0:08:22.564565,0:08:42.612403,0:09:03.900983,0:09:24.037227,0:09:44.938007,0:10:05.339252,0:10:25.711782,0:10:46.461924,0:11:06.714722,0:11:29.236184,0:11:49.199057,0:12:10.669542,0:12:31.107797,0:12:53.738851,0:13:15.328781,0:13:36.661443,0:13:57.974254,0:14:19.510299,0:14:42.537835,0:15:04.660858,0:15:26.164714,0:15:46.888073,0:16:08.750352,0:16:30.113467,0:16:51.730246,0:17:12.068885,0:17:33.504265
