0:00:23.099735,0:00:41.734431,0:01:00.864375,0:01:21.556509,0:01:40.596301,0:02:00.052168,0:02:18.980158,0:02:38.603321,0:02:58.518817,0:03:18.335640,0:03:37.360263,0:03:57.249501,0:04:16.073365,0:04:35.304002,0:04:54.533410,0:05:13.222917,0:05:32.966779,0:05:51.804762,0:06:12.658330,0:06:31.404311,0:06:51.120674,0:07:10.330539,0:07:29.488882,0:07:48.850359,0:08:07.693360,0:08:27.235575,0:08:46.019135,0:09:06.558898,0:09:25.579818,0:09:44.657624,0:10:04.262680,0:10:23.080521,0:10:42.881094,0:11:01.837942,0:11:21.564517,0:11:40.327184,0:11:59.967975,0:12:20.024674,0:12:39.021760,0:12:58.703006,0:13:17.394233,0:13:37.146134,0:13:56.293954,0:14:15.904245,0:14:34.805795,0:14:53.896229,0:15:13.425203,0:15:33.330240,0:15:52.947201,0:16:11.693929
-1491.099914476416,-1607.0723602478308,-1275.0169123101168,-1596.9964443208146,-1496.89583548698,-1522.4074488387157,-1548.6535011137867,-1422.5620351297046,-1360.1489822498731,-1197.972050723483,-1435.4312695286976,-1296.327622193595,-1185.8020840273407,-1398.0343157993095,-1188.707681034487,-906.4061270761681,-504.5920659019438,-126.98731298503785,-129.63135457405767,-123.76601915347894,-129.64529865244796,-125.5670977388165,-334.19718582829665,-1.0440634231069934,-249.3900597287126,-120.79678922597671,-128.5065203533569,-120.07530387188716,-124.87452990884616,-123.64094950282349,-123.31037963636508,-114.45729738237166,-122.1786000710287,-122.01711268736446,-265.7445627442401,-124.6327072466526,-122.7332777035616,-122.81924207725343,-123.93644839302564,-122.90608191571606,-127.52308231015839,-375.7410598425804,-234.1593268320959,-119.34897431401127,-121.27715642746365,-248.7620682200924,-233.59666018227531,-237.71353067168198,-128.71810862699738,-127.16054586824283
0:00:19.674971,0:00:38.391861,0:00:57.529198,0:01:16.740226,0:01:35.771367,0:01:55.414016,0:02:14.155760,0:02:34.601932,0:02:53.418140,0:03:12.977224,0:03:31.827972,0:03:51.133591,0:04:10.183755,0:04:29.037576,0:04:48.777236,0:05:07.652722,0:05:27.462778,0:05:47.336367,0:06:07.212448,0:06:26.115581,0:06:46.045934,0:07:05.131070,0:07:24.535704,0:07:43.967221,0:08:02.850397,0:08:22.644016,0:08:41.561902,0:09:02.240390,0:09:21.114230,0:09:41.102874,0:10:00.022247,0:10:19.920658,0:10:38.935979,0:10:58.413730,0:11:17.874174,0:11:37.330221,0:11:57.103264,0:12:17.170286,0:12:37.110889,0:12:56.044792,0:13:15.806009,0:13:34.942030,0:13:54.529627,0:14:13.743792,0:14:32.921275,0:14:52.627625,0:15:11.719503,0:15:32.595716,0:15:51.669345,0:16:11.647126
-1608.27865418281,-1299.4161552905746,-1086.5659449626344,-1320.5997639950556,-1187.9324299345278,-1816.6613099720962,-1748.9368456075426,-1804.2912078664478,-1183.9670930574384,-1628.4112612263752,-1142.563514354073,-1273.9293243130057,-1041.3383307276831,-1202.8546852012832,-991.9799226809654,-852.8312067298385,-754.881038745894,-1039.7219204771181,-509.3494612659042,-495.30047026968845,-380.10680633004165,-1652.255980337458,-543.7050936894473,-371.1530459448418,-242.87528570782243,-252.376150583052,-379.25373917029304,-131.53792587181402,-249.46220706649618,-126.8153681826499,-234.93416825722448,-3.1723547307708584,-129.72143749013824,-122.2787886510072,-117.85090503356754,-1.9511263400068872,-796.8947264309107,-127.82551661010795,-122.86794624578994,-241.98037532073937,-522.0474464511257,-119.74884999019311,-126.07345740760819,-130.30239671311168,-1.6956483931559436,-124.17504114269417,-123.26660634158118,-122.29556968287946,-238.22234848621483,-243.37914576159307
0:00:19.155193,0:00:39.129933,0:00:58.276192,0:01:18.167702,0:01:37.190511,0:01:56.976698,0:02:16.192526,0:02:37.071262,0:02:56.632178,0:03:16.146598,0:03:35.633772,0:03:54.882962,0:04:14.861413,0:04:34.011727,0:04:54.011452,0:05:13.100701,0:05:33.296063,0:05:53.336028,0:06:13.427213,0:06:32.493551,0:06:52.542330,0:07:11.648600,0:07:31.539778,0:07:50.710608,0:08:10.116941,0:08:29.740770,0:08:48.599024,0:09:09.324059,0:09:28.276406,0:09:48.215077,0:10:07.018104,0:10:26.534945,0:10:45.410979,0:11:04.691099,0:11:24.223400,0:11:42.952674,0:12:02.657552,0:12:21.555474,0:12:42.280014,0:13:01.016664,0:13:20.693557,0:13:39.469767,0:13:58.944257,0:14:17.968868,0:14:37.047719,0:14:56.662003,0:15:15.512970,0:15:35.471047,0:15:54.913853,0:16:15.063264
-1581.6793122782465,-1933.8454289809808,-1596.2770641108737,-1144.5400339286655,-955.94846432693,-956.7035704841566,-1086.8024083316836,-1286.1097616385448,-1530.8928248375694,-1011.8853560803163,-947.9105871808683,-1188.4123692272615,-1013.1003571299736,-893.5830201351869,-1475.7121943170014,-1216.8275037364763,-1142.1841772661473,-1234.2750757848644,-498.55877851689786,-755.3091269526165,-374.6865203478444,-766.2041992662876,-251.9530411823256,-254.61100984810554,-128.34071020624745,-254.76125381498935,-132.40130446776246,-129.79067654019445,-121.74024024274114,-2.1040609950946028,-480.0891246312034,-2.9621122804442113,-1.544999336651908,-1670.6111482603835,-357.7748940041816,-123.1716397907234,-122.21956559864171,-2.0960407735928483,-2.0445556736537838,-122.77893560214162,-124.51587804251442,-246.1579144158115,-242.54118229809723,-121.3417351694324,-122.0527883309793,-490.9017254589075,-230.7325739206429,-232.15217460511914,-248.62507130332867,-517.5863666783877
0:00:19.225862,0:00:38.926945,0:00:57.697687,0:01:17.456857,0:01:36.458978,0:01:55.576030,0:02:15.142113,0:02:34.384887,0:02:54.156873,0:03:13.970567,0:03:33.902773,0:03:52.946671,0:04:12.901418,0:04:31.814291,0:04:51.299130,0:05:10.322171,0:05:29.572051,0:05:49.177236,0:06:08.213217,0:06:29.129491,0:06:48.065343,0:07:08.048557,0:07:26.858415,0:07:46.536839,0:08:05.541069,0:08:24.960083,0:08:44.175990,0:09:02.966557,0:09:22.774434,0:09:41.613032,0:10:02.382216,0:10:21.305989,0:10:40.889176,0:10:59.963388,0:11:19.028087,0:11:38.471040,0:11:57.247643,0:12:17.150837,0:12:35.849787,0:12:55.488482,0:13:15.580433,0:13:34.488495,0:13:54.215162,0:14:13.043798,0:14:32.670607,0:14:51.642258,0:15:11.418024,0:15:30.211258,0:15:49.693041,0:16:08.832957
-1301.0782903879754,-1414.3879233005694,-1620.1223106984855,-1485.4887549540983,-1497.7026640249067,-1467.5206467350072,-1347.0044039590127,-1495.054565682203,-1068.3207625111056,-794.4004814353897,-913.9985369118994,-781.9026159219969,-387.02526677223545,-131.64571405123843,-129.2822022857227,-396.95565563258145,-254.81325425126025,-126.9604911672605,-128.68945599981265,-3.073467718437274,-2.734795312485116,-786.2278634876595,-517.640862212951,-253.96812261843255,-242.10279125788125,-250.22988736885904,-125.46106152830625,-225.80113400522663,-121.73846256848653,-250.541588571101,-374.87338135211456,-134.4989141708666,-137.41347265158385,-8.588908878056198,-5.917657231107752,-126.02041916149078,-126.13352001701408,-254.68216258824359,-118.8340566624164,-740.834232175872,-358.39136706147593,-3.587726222773242,-2.7681522528997964,-132.42829807148107,-122.0067700405444,-122.07751606479177,-124.38702371601309,-132.1697042136115,-126.40944984113266,-127.46399116275059
0:00:19.352696,0:00:40.025465,0:00:58.882623,0:01:18.677514,0:01:37.686788,0:01:57.302762,0:02:16.302186,0:02:35.583608,0:02:55.099276,0:03:14.169508,0:03:33.967336,0:03:54.292272,0:04:14.293010,0:04:33.379385,0:04:53.389288,0:05:12.548214,0:05:32.178205,0:05:51.548060,0:06:10.789916,0:06:30.588823,0:06:49.693721,0:07:10.654459,0:07:29.569343,0:07:49.365227,0:08:08.658560,0:08:28.756933,0:08:47.677705,0:09:06.940800,0:09:26.276607,0:09:45.371373,0:10:05.228689,0:10:24.432722,0:10:44.983021,0:11:03.927851,0:11:23.752035,0:11:42.733480,0:12:02.261529,0:12:21.645666,0:12:40.767304,0:13:00.235734,0:13:19.114670,0:13:38.846746,0:13:59.049033,0:14:18.711930,0:14:37.583005,0:14:57.041268,0:15:16.511384,0:15:35.475220,0:15:55.097160,0:16:14.036976
-1525.5578301143555,-1497.324862596248,-1697.0369405067743,-1829.221535772877,-1394.3392743400605,-1494.9783280266206,-1358.578833713371,-1478.283236603224,-1136.069244552456,-1366.1473234438927,-1436.3531587313753,-1436.3959828281324,-1594.2753343429385,-1500.071567251499,-1404.4691958332885,-1272.6024296650792,-1054.2940626491832,-771.9008255858375,-554.2425077900372,-2.537318583495678,-257.16261989660046,-760.197383058073,-133.44753227497665,-408.70008279664245,-130.77905130089914,-259.0067692496778,-136.8741039424465,-232.05137036179204,-254.61737722948163,-127.26241472903332,-232.17993855566405,-130.4995622515121,-125.37447474716114,-238.2859883586832,-0.8988197924869377,-126.67317273974597,-234.71880200718147,-1.3752570306042458,-117.65442599341404,-256.5499966468975,-236.8541020690174,-126.72407989207981,-324.17053220068516,-126.35789137494001,-123.680786506418,-117.55039770545771,-125.36580803574276,-238.79134276193375,-122.47605393397646,-253.79257348253512
0:00:19.832753,0:00:38.703184,0:00:58.988756,0:01:18.425483,0:01:38.246521,0:01:57.107851,0:02:16.419873,0:02:35.716399,0:02:54.759826,0:03:14.451929,0:03:33.332522,0:03:53.215555,0:04:12.189708,0:04:32.774681,0:04:51.625607,0:05:11.456137,0:05:30.508634,0:05:49.956640,0:06:09.234424,0:06:28.162839,0:06:47.914166,0:07:06.808247,0:07:26.561143,0:07:46.279835,0:08:06.161565,0:08:25.098277,0:08:44.763107,0:09:03.736220,0:09:23.132447,0:09:42.347374,0:10:01.243286,0:10:20.854310,0:10:39.856785,0:11:00.621845,0:11:19.558725,0:11:38.979058,0:11:58.177884,0:12:17.339511,0:12:36.965970,0:12:55.956991,0:13:15.621614,0:13:34.494085,0:13:54.217593,0:14:14.098938,0:14:34.299758,0:14:53.591359,0:15:13.567911,0:15:32.648694,0:15:52.567507,0:16:12.296369
