0:00:18.546585,0:00:36.894553,0:00:54.126492,0:01:11.928320,0:01:31.161465,0:01:48.026639,0:02:04.844265,0:02:23.007681,0:02:40.079850,0:03:00.114760,0:03:18.314732,0:03:35.457427,0:03:52.516743,0:04:09.566704,0:04:29.521790,0:04:46.507228,0:05:03.547115,0:05:21.052815,0:05:39.911973,0:05:59.077867,0:06:16.327654,0:06:33.987096,0:06:51.348720,0:07:08.365623,0:07:28.368260,0:07:45.402407,0:08:02.685148,0:08:21.508486,0:08:39.633443,0:08:58.451250,0:09:15.567497,0:09:33.651033,0:09:50.802593,0:10:07.841044,0:10:27.373873,0:10:46.758843,0:11:03.739113,0:11:20.689132,0:11:38.364188,0:11:57.605619,0:12:14.750369,0:12:32.030660,0:12:50.129872,0:13:07.537352,0:13:27.939552,0:13:45.864106,0:14:03.223351,0:14:20.358086,0:14:37.793651,0:14:58.003975
-1525.096173276967,-1348.2722789315255,-1560.611725447344,-1290.8939989284665,-1572.7842594344397,-1586.3823026512503,-1526.934559110395,-1455.4737058966002,-1623.2330558620763,-1380.7094976372268,-1509.084361846357,-651.8711890999485,-943.1517735252417,-904.0788124447146,-1230.6150866693238,-507.5672771579578,-378.2708483246501,-253.90062096686358,-134.23678777492944,-131.23066519637607,-126.97086176340285,-256.499337397489,-371.13388243553015,-130.93579689069645,-252.2037073051414,-125.66239403866022,-1191.0906403660292,-126.30613546566244,-129.08603333168878,-251.99972378768314,-126.87219732573946,-273.5422136405882,-382.97388392728783,-253.21955300823097,-125.25458435298314,-249.37212042378582,-128.44011587692464,-121.58888120947597,-124.17449027870612,-120.87291318097307,-254.81518196461573,-333.53386118580653,-233.56346382441257,-319.46503584746563,-3.9336601123218515,-122.85499031685882,-251.4600682695742,-120.85077224589033,-113.53447809689504,-123.87334055723896
0:00:17.652104,0:00:34.857831,0:00:54.881634,0:01:12.398731,0:01:31.745650,0:01:50.172484,0:02:07.769966,0:02:25.143389,0:02:42.573726,0:03:02.584428,0:03:19.755839,0:03:38.899793,0:03:57.121110,0:04:14.480579,0:04:33.662063,0:04:51.565338,0:05:09.337691,0:05:26.611825,0:05:43.905345,0:06:05.873376,0:06:23.217333,0:06:40.421398,0:06:58.283273,0:07:16.516122,0:07:35.917359,0:07:53.755323,0:08:11.732407,0:08:28.922445,0:08:48.180362,0:09:08.233535,0:09:25.818801,0:09:43.185696,0:10:00.418766,0:10:18.591121,0:10:37.451935,0:10:54.801117,0:11:12.955408,0:11:31.853250,0:11:48.983106,0:12:07.905930,0:12:26.117159,0:12:43.189581,0:13:00.434769,0:13:17.741569,0:13:38.026538,0:13:56.673491,0:14:14.280992,0:14:32.760475,0:14:49.883418,0:15:08.668266
-1575.8806644086308,-1714.2703553076904,-1540.93853945329,-1447.7696800888739,-1416.1697322861032,-1651.9477743360462,-1495.7151407752322,-1583.693453138703,-1003.1192335415196,-1647.507178913007,-1513.5700479556685,-1070.9740771031368,-1610.657344118142,-934.5324585768724,-1440.073254728187,-1519.6281910160196,-1601.4189025122087,-1104.6548105564889,-1669.059171873137,-1595.4567369202894,-1503.7004701610758,-902.6154968445055,-1188.136626049585,-1682.138046378293,-1459.5887536502569,-1498.3608349768379,-1182.9825715519728,-1494.333859437272,-1061.53631010695,-1571.8408192649952,-1506.7303503466958,-1348.878111596713,-1043.7526396630853,-1626.610615568681,-1559.4474201520459,-1632.5489449443626,-1658.2237621309334,-993.5992810429199,-948.8925099846017,-844.0442607287677,-1497.0569899447362,-1398.2989402884164,-898.6016798623162,-387.66108832362886,-866.8556767383935,-751.4806387088845,-140.68952901955748,-878.2224324688593,-912.5453502865005,-521.1498784459842
0:00:18.660467,0:00:36.338677,0:00:53.499883,0:01:10.882190,0:01:32.302303,0:01:49.630883,0:02:06.988029,0:02:25.232199,0:02:42.803852,0:03:01.910952,0:03:20.425091,0:03:37.655810,0:03:55.006867,0:04:14.063480,0:04:34.121809,0:04:51.407419,0:05:08.701357,0:05:27.096881,0:05:44.448826,0:06:03.332533,0:06:22.270865,0:06:40.752625,0:06:58.308001,0:07:16.271384,0:07:36.004690,0:07:53.592706,0:08:11.350975,0:08:29.711267,0:08:47.230873,0:09:07.071067,0:09:26.466983,0:09:44.071627,0:10:02.096236,0:10:20.338013,0:10:39.555585,0:10:56.750616,0:11:15.334620,0:11:32.578451,0:11:50.001417,0:12:11.847989,0:12:29.359844,0:12:46.796423,0:13:04.325006,0:13:22.531142,0:13:41.661138,0:13:59.096682,0:14:17.463303,0:14:34.764222,0:14:53.277222,0:15:13.347133
-1374.4891588683515,-1180.5804053414447,-1536.64525684552,-1217.0992154236171,-1758.2261831905382,-1593.1087900455564,-1427.1769981658938,-1420.9169379958532,-1337.8306731234957,-1224.3100262335129,-923.370518298687,-1018.167520275691,-996.8540563545024,-723.288495375083,-667.166657527285,-131.85562485254476,-511.94914628636195,-292.75754785769044,-392.54325794149395,-12.95709198438662,-131.49022299437587,-121.59858056451556,-245.5975625711967,-131.3479390471493,-126.55955518573472,-284.09861602394244,-3.8960544797108976,-237.5639870269595,-121.19838263829365,-498.7965943944483,-362.03719892578596,-126.59351291364213,-116.73764558414985,-1.1354849147814392,-3.0940902154266268,-241.38781158516846,-119.58588288300743,-338.379226624171,-247.89665717188436,-1.1092404763297292,-122.52474122181177,-121.13560793742893,-126.65552436611124,-494.72315261889577,-247.9566227760146,-118.49202542381273,-120.98965563638336,-355.70369309146497,-251.14601643277527,-337.6566654531098
0:00:17.741654,0:00:34.825033,0:00:53.165517,0:01:10.840392,0:01:30.035614,0:01:47.960966,0:02:07.805106,0:02:25.096914,0:02:42.440237,0:03:02.837121,0:03:20.259579,0:03:37.695270,0:03:55.882295,0:04:13.752773,0:04:32.918970,0:04:52.246174,0:05:10.248562,0:05:27.792927,0:05:45.032823,0:06:05.352894,0:06:22.786516,0:06:39.999064,0:06:58.138994,0:07:15.587710,0:07:36.277702,0:07:54.022236,0:08:12.160978,0:08:29.693414,0:08:47.159822,0:09:07.600477,0:09:24.885997,0:09:42.193139,0:10:00.065522,0:10:19.280860,0:10:38.419990,0:10:56.669419,0:11:14.681244,0:11:31.775818,0:11:49.317845,0:12:09.611779,0:12:27.108682,0:12:46.131757,0:13:04.801145,0:13:22.404436,0:13:41.947703,0:14:00.084477,0:14:17.202895,0:14:34.517183,0:14:52.238964,0:15:11.989323
-1408.4165680574429,-1528.4505944284942,-1635.1482611104655,-1774.5123819872179,-1360.9387243118993,-1162.4159060921538,-1206.4466186458042,-1497.4569585918066,-1485.704910039696,-1397.3989408318093,-1190.999993292162,-1344.8544936122132,-1202.9867953846858,-1189.3425362953385,-1159.651560897768,-1168.843938740943,-906.1643008510882,-964.5998267565129,-649.7731649579853,-499.2579934403143,-380.9883146819004,-369.3192774773036,-129.11183516120172,-128.12054414007446,-251.08732755925564,-127.68135704881779,-1262.8888845890197,-5.314431750731872,-124.8967740926012,-645.5239099400137,-354.7871130406152,-127.38471243856543,-126.163316393771,-122.29053927143457,-229.7556668115794,-237.6414011872724,-239.30906321960447,-125.26762437903493,-9.287028687699566,-120.93769250371801,-124.08584863629713,-116.69720873281817,-116.70575234618299,-123.18288247269041,-119.5522693104091,-123.8232409809262,-126.78334386353276,-113.48110593090992,-128.9850162038331,-241.46590520055577
0:00:18.595996,0:00:36.758917,0:00:54.579350,0:01:11.972152,0:01:32.064379,0:01:49.778758,0:02:07.385238,0:02:24.697389,0:02:43.073472,0:03:03.410619,0:03:21.200199,0:03:39.686600,0:03:57.134845,0:04:14.745191,0:04:34.843238,0:04:51.984948,0:05:09.723263,0:05:27.609433,0:05:46.978832,0:06:06.137124,0:06:23.889687,0:06:41.995202,0:07:00.454428,0:07:19.528063,0:07:40.743957,0:07:59.549836,0:08:19.610961,0:08:39.861918,0:08:59.579060,0:09:20.663008,0:09:39.626549,0:09:59.039006,0:10:17.855086,0:10:36.920776,0:11:00.363111,0:11:24.568486,0:11:43.552313,0:12:03.647515,0:12:23.997775,0:12:47.128195,0:13:06.254647,0:13:27.582430,0:13:48.300906,0:14:12.001460,0:14:33.013110,0:14:51.464065,0:15:08.884928,0:15:26.192533,0:15:43.745759,0:16:03.295198
-1175.4838734861498,-1022.6179112061565,-1713.0757763340935,-1488.2639015741179,-1404.4535172490298,-1416.6767870542872,-1522.0839541971325,-1512.9881114996765,-1409.1422397875003,-1140.275131337717,-931.2170736133558,-794.1425251104512,-942.1835547667578,-925.6330843797856,-267.65509941657416,-259.29141324947267,-790.5414070062376,-325.883024087013,-1.8093264623635819,-1.2440779909196178,-127.70292474921433,-266.84269529539586,-124.92103753300691,-257.145994888703,-310.21569974243005,-239.9308437800225,-245.39079047836935,-120.19142843000712,-247.30744540737444,-251.13773454187768,-499.9623967081809,-126.61857428398153,-129.3781207092931,-123.75374070559653,-129.8977726264015,-129.13236543288127,-9.074058660837883,-6.653151207648373,-125.79662045319088,-125.7511618251006,-242.74440434523746,-236.3582281095228,-5.256369691115418,-124.64775135035157,-128.5284803555282,-123.87091805329729,-126.37072193232906,-120.39069393974775,-0.9281693821685084,-116.76654986609795
0:00:17.222051,0:00:34.578716,0:00:53.898220,0:01:11.125553,0:01:30.219615,0:01:48.639770,0:02:05.952611,0:02:23.151836,0:02:40.832723,0:03:00.301539,0:03:17.243511,0:03:35.522259,0:03:53.887016,0:04:11.190344,0:04:30.122123,0:04:48.281701,0:05:05.492203,0:05:22.529330,0:05:39.453474,0:05:59.295485,0:06:16.247886,0:06:34.481563,0:06:51.958379,0:07:09.414040,0:07:28.204391,0:07:45.282921,0:08:03.328393,0:08:20.550482,0:08:37.948132,0:08:57.987888,0:09:16.499207,0:09:33.567081,0:09:50.545062,0:10:08.954217,0:10:28.365854,0:10:45.644778,0:11:03.805191,0:11:21.758279,0:11:38.886914,0:11:59.508772,0:12:17.736240,0:12:34.962633,0:12:52.073776,0:13:09.438810,0:13:28.909589,0:13:46.267505,0:14:03.266969,0:14:21.235272,0:14:38.318476,0:14:58.732562
