0:00:20.419076,0:00:40.964777,0:01:01.252141,0:01:20.334696,0:01:40.690141,0:01:59.765023,0:02:19.469631,0:02:39.190923,0:02:58.153809,0:03:18.586812,0:03:39.291600,0:03:58.763067,0:04:18.708346,0:04:37.652727,0:04:57.637711,0:05:16.720473,0:05:36.455930,0:05:56.001707,0:06:14.935792,0:06:35.664071,0:06:55.425316,0:07:15.478596,0:07:34.465950,0:07:53.953340,0:08:13.851504,0:08:32.935640,0:08:53.232149,0:09:12.156025,0:09:31.581356,0:09:52.113278,0:10:11.193839,0:10:31.306195,0:10:50.117604,0:11:10.493558,0:11:29.579911,0:11:48.850101,0:12:08.572496,0:12:27.548765,0:12:49.011576,0:13:08.211577,0:13:27.886691,0:13:47.761170,0:14:06.753382,0:14:27.189175,0:14:46.705842,0:15:06.842809,0:15:25.634361,0:15:44.840379,0:16:06.055032,0:16:24.772594
-1490.9266965842435,-1522.8415674609666,-1335.175440074907,-1449.8607978989914,-1524.8027127847693,-1536.4299033876866,-1163.3890222977611,-1530.5044447378605,-1464.019781425395,-1224.7831488276008,-1055.864580927541,-1188.0052073674713,-1499.9747019317263,-903.1781105432956,-770.5406799874851,-393.73552526544296,-412.8198251497512,-135.57383877727497,-12.367331444883982,-6.290568092475964,-1364.9258885180875,-1.4370081085434658,-236.62709730683505,-364.0683528356476,-482.02679334366087,-132.8718733331432,-118.71396075057328,-259.704242901835,-210.8154356581812,-6.43502025223843,-467.9009708780003,-133.36356914243402,-240.73924266540112,-234.57882690798073,-122.45727024869414,-120.34676116476676,-249.59810287893484,-252.55862189933256,-506.43930405521127,-259.92060890169273,-122.6908383961423,-235.37126021547928,-6.655467997573556,-119.47977238562432,-124.48368115518525,-12.151596490274152,-1.962228936737097,-357.65089062035463,-239.73411978471808,-258.5450280577878
0:00:20.402557,0:00:39.647774,0:00:59.964916,0:01:18.880683,0:01:37.854182,0:01:57.930157,0:02:17.296817,0:02:37.260465,0:02:57.344052,0:03:16.789831,0:03:36.288490,0:03:55.471511,0:04:15.518940,0:04:34.975348,0:04:55.274887,0:05:14.052668,0:05:32.980622,0:05:53.428353,0:06:12.968607,0:06:33.271071,0:06:52.039618,0:07:11.123278,0:07:30.839170,0:07:49.908462,0:08:09.933521,0:08:29.020953,0:08:48.344724,0:09:09.024889,0:09:28.142458,0:09:48.156505,0:10:06.906559,0:10:26.989088,0:10:45.769947,0:11:04.488790,0:11:24.624505,0:11:43.652017,0:12:03.646545,0:12:24.121604,0:12:43.252958,0:13:02.838591,0:13:21.706423,0:13:41.507263,0:14:00.308626,0:14:19.755972,0:14:39.257458,0:14:58.328185,0:15:18.390086,0:15:38.320807,0:15:58.343354,0:16:17.501534
-1380.831959168248,-1351.121551748007,-1599.670794742428,-1505.2417029906098,-1689.0777940260468,-1614.266149997308,-1681.7466745572362,-1701.726024429624,-1177.775023324411,-1544.4286736940555,-1235.930426311484,-912.8227335729991,-892.0799905718198,-645.1957500057929,-1511.0428994085732,-534.7153302736834,-660.3924980658153,-506.4170431405436,-641.7291759272144,-772.8520521693441,-619.0591313694647,-379.765169944567,-133.3568973688559,-362.9102875470126,-7.043782829621544,-128.19482048268947,-254.35081375878406,-339.1077513123145,-250.06112990091958,-232.72671989498102,-123.12812872512865,-5.124876149599473,-4.941300582242033,-125.26829392849031,-260.1028783159839,-127.28119940647316,-125.65371497052992,-133.09008223029423,-354.1168275605782,-129.05837932544193,-638.3357433691128,-124.56329384047037,-122.98030224070105,-121.80426280148987,-2.6819160148171983,-251.64475509436866,-624.2112274923047,-3.2279986536608662,-233.50909423436823,-1.7787263949216177
0:00:19.062176,0:00:39.072138,0:00:57.915479,0:01:18.459917,0:01:37.291248,0:01:56.864070,0:02:16.078473,0:02:35.090657,0:02:55.952684,0:03:14.670728,0:03:34.150274,0:03:54.095155,0:04:13.373383,0:04:33.421113,0:04:52.490949,0:05:12.668599,0:05:32.107881,0:05:50.900508,0:06:12.781668,0:06:31.988285,0:06:51.763310,0:07:11.413101,0:07:30.386546,0:07:50.535993,0:08:09.420892,0:08:29.796363,0:08:48.600552,0:09:07.893928,0:09:28.747449,0:09:47.444711,0:10:07.593095,0:10:26.667272,0:10:46.385757,0:11:05.481004,0:11:24.302165,0:11:44.416284,0:12:03.324634,0:12:22.770330,0:12:43.531111,0:13:02.395682,0:13:22.639105,0:13:41.667305,0:14:01.740624,0:14:20.749165,0:14:39.466084,0:14:59.506584,0:15:18.295687,0:15:37.544481,0:15:56.717202,0:16:16.736678
-1436.7857770757453,-1818.3674716207295,-1347.6486180055683,-1107.8663794975337,-1273.4065265416305,-1416.761043244481,-1495.4124855944924,-1325.0835495208971,-1496.0377785025123,-1016.0944748557667,-1180.4553146039036,-1493.5367071678036,-625.8115631190595,-691.2959237922005,-1313.5757932636348,-504.78445493774495,-1523.2108757991584,-1305.84041277915,-1157.7653003220614,-1237.6879635825494,-1196.4752922662478,-153.25653550291466,-390.0537769667183,-252.26032174331976,-128.80382139021373,-123.64869018099937,-245.01974489067095,-247.57745943736282,-129.19077988123186,-133.74250502287762,-237.99700675389363,-5.516995553112608,-383.33286704998227,-708.6462751025982,-134.0340256641891,-129.4755296016557,-128.04981713778454,-7.823989499215479,-127.28588052226377,-347.68785801580145,-349.1225266231733,-245.31087597657066,-367.76574284876153,-127.32159438315318,-352.03685349616427,-125.07723940013038,-3.6927836197136332,-120.56618763128351,-354.59507663529934,-357.11762171076583
0:00:20.384580,0:00:39.282078,0:00:59.252288,0:01:18.003350,0:01:36.855464,0:01:56.700234,0:02:15.917253,0:02:36.309073,0:02:54.839737,0:03:15.570660,0:03:35.076858,0:03:53.913746,0:04:13.815915,0:04:32.617545,0:04:51.837269,0:05:11.377453,0:05:30.307751,0:05:50.478798,0:06:09.288885,0:06:29.354816,0:06:49.209538,0:07:08.464070,0:07:28.526504,0:07:47.660866,0:08:06.764464,0:08:26.085421,0:08:44.782671,0:09:04.670339,0:09:23.984937,0:09:43.415944,0:10:04.220252,0:10:22.864640,0:10:42.984104,0:11:01.750175,0:11:20.766608,0:11:40.264772,0:11:59.054059,0:12:18.954011,0:12:37.690641,0:12:57.167016,0:13:18.824658,0:13:37.487660,0:13:57.336085,0:14:16.224301,0:14:34.944959,0:14:55.024991,0:15:13.755355,0:15:33.206288,0:15:52.434678,0:16:11.381297
-1329.9201606537633,-1346.0272256655217,-1491.812524063033,-1465.192358539487,-1484.3332473543496,-1421.9283192574098,-1369.8430414691647,-1449.293230108146,-1525.9116556809831,-1395.828245853261,-1526.368219000146,-1093.0131616068838,-1325.7134674094063,-1420.9523857330737,-1346.31383906018,-1055.098285335656,-791.6636001658728,-234.93989341743443,-925.8563705651767,-1491.4708301332441,-126.56655495563287,-128.49436551219753,-267.96601485347145,-131.3271961751124,-133.86446996415677,-125.05591541341677,-132.26956628414342,-3.322200964754074,-375.1896674459967,-233.51602028319724,-238.79244044866016,-132.49709187674713,-304.89220329845426,-1.8967618601192244,-118.16479746903632,-121.61938723730728,-371.58226043928266,-350.8420430722137,-124.08141234508324,-247.89719734812638,-125.38817886857748,-121.39010798690616,-358.70699075779834,-118.21781237200153,-242.4411058936918,-236.51058494628404,-231.1044531151234,-118.72225266886895,-627.318987860367,-374.2122843557144
0:00:19.900763,0:00:39.817755,0:01:00.074302,0:01:19.018752,0:01:38.164625,0:01:57.860637,0:02:17.005936,0:02:37.137304,0:02:56.141417,0:03:15.824403,0:03:35.371962,0:03:55.822101,0:04:15.450865,0:04:34.497990,0:04:53.188809,0:05:13.856460,0:05:32.848702,0:05:53.307919,0:06:12.085526,0:06:30.763079,0:06:50.721861,0:07:10.981993,0:07:31.341537,0:07:50.069347,0:08:09.138374,0:08:28.545489,0:08:47.608812,0:09:07.710644,0:09:26.629880,0:09:46.130447,0:10:05.634614,0:10:24.774064,0:10:46.159414,0:11:04.952022,0:11:24.289629,0:11:43.638745,0:12:02.391310,0:12:22.392916,0:12:41.381486,0:13:00.666491,0:13:20.253990,0:13:39.180501,0:14:00.252786,0:14:19.303240,0:14:39.111829,0:14:58.086854,0:15:17.250710,0:15:37.317411,0:15:56.367703,0:16:16.366504
-1146.020937375361,-1510.6327583508437,-1718.2245720827564,-1535.9240718411813,-1524.2629789639102,-1485.2592304943573,-1504.1681631239974,-1523.8873517430418,-1154.997167973336,-976.5113360911361,-1244.2040064077307,-1360.101581447555,-973.8531428140584,-672.394379119559,-724.5367658319062,-1552.335474688349,-442.24926855670054,-126.53948886887048,-256.49499208338017,-125.37626164249978,-129.67919610698226,-126.26341617534382,-261.1808807888856,-617.8373672977701,-261.45111018609674,-490.2924145513046,-245.3037486867239,-370.7465327176613,-119.85494335717289,-255.23592046500704,-122.73882621684959,-234.56551327156683,-122.61470638276994,-116.66454816814988,-124.43996435850411,-132.67090400693323,-241.4663214039062,-117.52975421133154,-122.80254874627556,-240.70224267369417,-0.8593230833912329,-355.12665966213797,-120.04714984469372,-2.4352284148768666,-132.04135647878164,-250.0484623470566,-127.56883939498978,-0.4043217182983155,-0.9568341716354388,-2.1262114640441885
0:00:19.231092,0:00:38.883355,0:00:59.938547,0:01:19.194933,0:01:39.353518,0:01:58.394093,0:02:18.405028,0:02:37.375163,0:02:56.315170,0:03:16.291061,0:03:35.223187,0:03:55.228774,0:04:14.244949,0:04:34.472417,0:04:54.715070,0:05:13.380875,0:05:32.189188,0:05:51.917601,0:06:10.742483,0:06:30.719087,0:06:49.786885,0:07:08.631127,0:07:28.541385,0:07:48.441443,0:08:08.424303,0:08:27.082241,0:08:46.232781,0:09:05.982936,0:09:24.582469,0:09:44.787458,0:10:03.572378,0:10:22.691956,0:10:42.414996,0:11:01.811518,0:11:22.287840,0:11:41.407867,0:12:00.918771,0:12:20.619221,0:12:39.613887,0:12:59.672285,0:13:18.228421,0:13:37.457414,0:13:57.025294,0:14:15.704400,0:14:37.439934,0:14:56.053380,0:15:15.063182,0:15:35.117316,0:15:53.739680,0:16:13.303656
