0:00:20.831805,0:00:42.306500,0:01:02.981369,0:01:24.525518,0:01:44.906440,0:02:06.697901,0:02:26.961946,0:02:48.768482,0:03:09.622068,0:03:31.489311,0:03:51.892798,0:04:13.457153,0:04:34.094480,0:04:55.606149,0:05:16.210217,0:05:37.672787,0:05:58.413940,0:06:19.788736,0:06:40.275770,0:07:02.021672,0:07:22.790179,0:07:44.331139,0:08:05.381720,0:08:26.794971,0:08:47.674174,0:09:08.879105,0:09:29.646072,0:09:50.679268,0:10:11.332273,0:10:33.090897,0:10:54.589031,0:11:16.369052,0:11:38.141304,0:11:59.184728,0:12:21.213226,0:12:41.975434,0:13:03.977513,0:13:24.979922,0:13:46.882090,0:14:07.623280,0:14:29.349169,0:14:49.873104,0:15:11.543462,0:15:32.026223,0:15:53.696507,0:16:14.254402,0:16:35.966114,0:16:56.648085,0:17:18.463943,0:17:39.060591
-1283.0949507569062,-1814.4412506581136,-1828.791813634376,-1681.421084289215,-1627.0801055868756,-1443.4266968571233,-1433.424005636724,-1376.4507896164973,-1024.1208575247445,-947.7503437509931,-1076.5802539827118,-786.0150295993193,-1523.3578595520923,-931.7277562796945,-1497.327510186077,-267.8707794822973,-125.54768591178426,-4.9965144395564005,-249.21757434661964,-255.77290495836243,-266.5606616231201,-264.09650517458334,-257.10730422275157,-129.3287133558636,-241.82574386517493,-1.1075259360666208,-117.07751411200228,-0.45965691350349114,-121.37081663548037,-128.6937946931646,-127.52575075653854,-2.395202132086702,-131.45415342223876,-8.220364378560362,-339.0816859099066,-119.31154162235869,-248.02886200722426,-125.61129976738832,-117.96451313920909,-231.7587003747982,-130.33775359252033,-239.5613267077609,-126.4184411003022,-122.14442653317283,-116.87550362375437,-230.9569157331923,-237.15148171530134,-120.8446774743494,-222.28700533462361,-2.0771558776838743
0:00:21.962556,0:00:42.782477,0:01:04.687518,0:01:25.696549,0:01:47.259622,0:02:08.206469,0:02:29.738608,0:02:50.828332,0:03:12.153094,0:03:33.768511,0:03:55.063570,0:04:16.988404,0:04:37.963094,0:04:59.871596,0:05:20.554990,0:05:42.461951,0:06:03.188437,0:06:25.300316,0:06:46.205039,0:07:08.009563,0:07:28.660986,0:07:50.589896,0:08:11.264205,0:08:33.209191,0:08:53.978438,0:09:16.209083,0:09:37.557124,0:09:58.819737,0:10:20.275093,0:10:41.477839,0:11:02.946073,0:11:24.072936,0:11:45.962577,0:12:06.804326,0:12:28.788745,0:12:49.576481,0:13:11.378768,0:13:32.039033,0:13:54.202275,0:14:14.849432,0:14:36.734350,0:14:57.496886,0:15:19.386274,0:15:40.098691,0:16:02.016673,0:16:22.807142,0:16:44.714305,0:17:05.730987,0:17:27.257153,0:17:48.639888
-1486.2209584960558,-1593.3343921501664,-1740.5834117180723,-1628.388207285135,-1753.2180352734433,-1654.634118667789,-1623.7834102451336,-1285.164847780079,-1600.154743838778,-1282.5549299389174,-769.6688947057394,-922.5736984228256,-765.8506833861969,-914.4415446528069,-892.5027869779595,-1208.4467380934238,-1216.5533242530598,-264.8491301128269,-792.5542431286528,-254.0994123606277,-127.50985977723556,-236.7912081830495,-384.65190851916554,-308.77828825073624,-118.23021800187308,-343.38718137871996,-121.72140066690721,-119.77504360874454,-354.0777905321355,-121.66459871920244,-116.0058347954247,-125.65991952232837,-229.54061044371826,-0.8942782575300733,-0.9398036068783744,-118.32913577975714,-0.9132880512296168,-2.7875873683123644,-120.52603638806947,-240.49983158251004,-118.4593318985759,-121.43715273593378,-0.9873760470752623,-120.60064302221626,-243.10173917109023,-240.5323856995198,-247.93129608106656,-119.11418491004692,-124.41876756083495,-1504.216963255358
0:00:21.210024,0:00:42.887774,0:01:04.200972,0:01:26.053189,0:01:46.757531,0:02:08.691201,0:02:30.027708,0:02:52.417637,0:03:13.147116,0:03:35.053114,0:03:55.726975,0:04:17.698401,0:04:38.694623,0:05:00.588510,0:05:21.743870,0:05:43.285283,0:06:04.697757,0:06:25.821276,0:06:47.389096,0:07:08.305615,0:07:29.977321,0:07:50.871235,0:08:12.653520,0:08:33.547891,0:08:55.453041,0:09:16.006239,0:09:37.908317,0:09:58.658591,0:10:20.518007,0:10:41.458870,0:11:03.765076,0:11:24.894435,0:11:47.094601,0:12:08.614358,0:12:30.462969,0:12:52.366660,0:13:13.723346,0:13:36.372199,0:13:57.448140,0:14:19.511074,0:14:40.582137,0:15:02.675995,0:15:23.404145,0:15:45.568979,0:16:07.038370,0:16:28.751301,0:16:50.433456,0:17:11.501936,0:17:33.411422,0:17:54.190080
-1389.0366061371512,-1811.7574946131201,-1137.4011734508956,-1640.7530705881718,-1612.6579103069078,-1449.8420452277132,-1565.410701816467,-1396.9596450642366,-1063.006146577473,-1064.933398095095,-1223.8529862590017,-1092.2769943649334,-894.4116241210335,-917.6290212439843,-520.7081481776773,-1247.4152897882188,-1575.5512476037234,-1577.8982241972433,-1417.9520843455437,-1523.2439938082734,-240.14215788624455,-126.75912426822866,-258.8850458170768,-244.39897377040145,-127.93998628130834,-118.89974561175684,-249.69775219117344,-263.8690894117179,-123.68038293788551,-351.0759840707241,-247.31722396887812,-233.534901612616,-132.19414310977928,-351.5507064740636,-229.7752715141296,-1.604137087989268,-120.47275868553477,-3.4105958590152157,-219.94462261514323,-0.7269465101504282,-116.91267720539548,-125.48654948103047,-130.01294644162257,-118.24069305596049,-242.20993613700375,-347.13906943534187,-121.1077437858544,-245.11837395546684,-126.69528019491226,-123.00778827636906
0:00:21.954218,0:00:42.948554,0:01:04.941149,0:01:25.608362,0:01:47.641721,0:02:08.591275,0:02:30.519213,0:02:51.553750,0:03:13.431405,0:03:34.723393,0:03:56.323659,0:04:17.867837,0:04:39.347297,0:05:01.195683,0:05:22.183877,0:05:44.298002,0:06:05.044320,0:06:27.044489,0:06:47.956189,0:07:10.175454,0:07:30.893282,0:07:52.877596,0:08:13.733676,0:08:35.768876,0:08:56.840066,0:09:18.681440,0:09:40.160246,0:10:01.509751,0:10:23.162501,0:10:44.226335,0:11:06.106755,0:11:26.780027,0:11:48.649348,0:12:09.386607,0:12:31.282724,0:12:52.123767,0:13:14.116352,0:13:34.746502,0:13:56.655354,0:14:17.414001,0:14:39.345584,0:15:00.149905,0:15:22.258305,0:15:43.571967,0:16:05.180569,0:16:26.663991,0:16:48.218989,0:17:09.848004,0:17:30.824515,0:17:52.821607
-1094.8450627456466,-1215.7390106033622,-1084.699031846305,-1568.436302738812,-1531.7559360186601,-1520.4176202745832,-1414.3892551047948,-1453.1315765446138,-1610.5732247002334,-1284.6782988033704,-1340.4993430243348,-1247.7083593401692,-1497.7383556483844,-916.3799804481449,-787.9685258010946,-634.2337031506477,-384.70019112347205,-264.6199956569693,-263.8058652132309,-127.20446684753985,-129.10547945020306,-350.39944400313163,-1568.7728708991722,-127.40315880614835,-1525.088382671491,-1286.6353798505115,-5.203269054026843,-126.82509934132489,-256.66203685958146,-299.06543919802925,-257.186982049103,-123.59236673844406,-362.2588908910954,-126.23779322527244,-374.75532617566597,-331.8487950361068,-122.26394922353923,-124.015648615154,-127.4177599136797,-1.5040218765765236,-1.041340245158195,-243.08837189067245,-341.9138148771802,-127.83958985923447,-255.56885877426583,-119.9428410548308,-121.78813270285654,-362.5991380056669,-229.57994764406106,-121.81560254571804
0:00:20.996007,0:00:42.929248,0:01:03.819829,0:01:25.682816,0:01:46.574882,0:02:08.620855,0:02:29.460740,0:02:51.563424,0:03:12.704142,0:03:34.152822,0:03:55.533804,0:04:17.015109,0:04:38.734116,0:04:59.903354,0:05:21.857632,0:05:42.580806,0:06:04.634843,0:06:25.495429,0:06:47.676132,0:07:08.696247,0:07:30.865258,0:07:51.876797,0:08:13.759276,0:08:34.805745,0:08:56.500784,0:09:17.849692,0:09:39.141482,0:10:01.151182,0:10:22.257771,0:10:44.241514,0:11:05.143100,0:11:27.052988,0:11:47.781968,0:12:09.808801,0:12:30.624943,0:12:52.529983,0:13:13.295910,0:13:35.236451,0:13:56.044648,0:14:17.968905,0:14:38.949903,0:15:00.807461,0:15:22.208696,0:15:44.015275,0:16:06.135085,0:16:27.138229,0:16:49.400079,0:17:10.475756,0:17:32.472190,0:17:53.340052
-1298.3367951887956,-1393.7768416557028,-1604.1084639795656,-1575.4234679897568,-1597.4642891732233,-1326.2449918420455,-1494.9604477984715,-1397.7314375937062,-1497.5700892647083,-1375.602741658126,-1242.1962034503217,-907.1330226925955,-943.4980206881113,-954.9203063807416,-403.559423588302,-264.83887572006074,-927.5567177077623,-5.983631008429526,-3.3344035653222375,-1167.102000370615,-127.82084801917568,-268.2012667812358,-128.33241509482806,-126.77143040547868,-371.8539143025051,-280.4680255690239,-265.14520158025994,-121.59453133384537,-1.8877184840536732,-342.2700206293965,-130.77639070611048,-131.69423385901146,-244.4597476248071,-126.04710024488799,-383.34996998168697,-132.03179688983437,-237.06313592703162,-11.302913011128199,-7.015893880432657,-123.10477213639493,-124.44688294176648,-124.25680119673007,-128.78260314143284,-122.25773126667923,-235.5441255774226,-342.06879694786943,-256.84484925307345,-131.70628747126085,-129.9964164440597,-12.274464063849294
0:00:22.085981,0:00:42.781690,0:01:04.669737,0:01:25.712353,0:01:47.374037,0:02:08.504894,0:02:30.030461,0:02:52.213923,0:03:13.633046,0:03:35.779585,0:03:56.676722,0:04:18.452856,0:04:39.067093,0:05:01.042275,0:05:21.733874,0:05:43.615458,0:06:04.354209,0:06:26.282331,0:06:46.987167,0:07:08.845941,0:07:29.822450,0:07:51.605392,0:08:12.632775,0:08:34.332468,0:08:56.070618,0:09:17.239695,0:09:38.892039,0:09:59.984243,0:10:22.205547,0:10:43.254788,0:11:05.465043,0:11:26.409915,0:11:48.600969,0:12:09.474802,0:12:31.382332,0:12:52.276064,0:13:14.326258,0:13:35.702392,0:13:57.246584,0:14:18.861309,0:14:39.949085,0:15:02.080186,0:15:23.021242,0:15:44.880265,0:16:05.809531,0:16:27.864346,0:16:48.709664,0:17:10.676973,0:17:31.635197,0:17:53.779175
-1081.9480486833995,-1651.555661632338,-1640.3680095523464,-1752.0099628664273,-1621.4791766191365,-1534.8494222984039,-1285.5170729429876,-946.5252345697273,-1067.4907969614937,-838.8806138799317,-529.1275873828046,-659.1445245651445,-527.3024240837873,-132.18304152103798,-5.379576282104556,-1373.6071167031762,-1476.427902647041,-128.9781161671709,-403.331870637791,-124.80787787925902,-134.87518186204736,-238.00312180886058,-126.45131659972338,-254.09041761099814,-1440.4160921989671,-537.2504556297339,-287.773634606434,-377.79215627430324,-122.31151773498195,-252.18554894691147,-130.04654254725256,-123.30370867676628,-253.57828608434085,-129.7019331491934,-120.30902068120427,-640.1904318811039,-917.6249795778183,-128.71264205283848,-125.68541405409267,-125.27811267883625,-123.9109821912336,-9.181004767380877,-251.6901418815002,-130.2615746690828,-364.05187043179217,-255.99765883984207,-11.050892025394631,-14.482711302934009,-137.74797694628492,-16.615352504763603
0:00:21.467144,0:00:43.188045,0:01:04.892858,0:01:26.038414,0:01:47.776945,0:02:08.836064,0:02:30.853967,0:02:51.681024,0:03:14.224519,0:03:35.483557,0:03:57.423561,0:04:18.420063,0:04:40.499922,0:05:01.758816,0:05:23.485755,0:05:45.044803,0:06:06.429984,0:06:28.265232,0:06:49.130603,0:07:11.005125,0:07:31.901369,0:07:53.805675,0:08:14.682504,0:08:36.517455,0:08:57.394488,0:09:19.316731,0:09:40.355296,0:10:03.122289,0:10:24.940734,0:10:47.076226,0:11:10.220056,0:11:32.047168,0:11:54.544102,0:12:16.095722,0:12:37.951037,0:12:59.347614,0:13:20.932489,0:13:42.648650,0:14:04.052100,0:14:26.298562,0:14:47.348868,0:15:09.711003,0:15:30.509418,0:15:52.575208,0:16:13.663015,0:16:35.883291,0:16:57.794460,0:17:19.201256,0:17:40.828945,0:18:01.965897
-1538.86931128891,-1059.3627069896454,-1291.747818482204,-1554.2814728551327,-1319.3512242586862,-1405.3471631028892,-1549.4286548053012,-1507.9044298511856,-1394.8368568341775,-1059.0097547362968,-1261.8293399325,-1233.7269365748646,-1108.9453720930155,-645.4482938615582,-371.71801853611083,-504.0936685053818,-509.37539591712164,-259.7053828227029,-250.59839067011725,-1491.7312292221318,-0.46819883027223236,-252.02687689154806,-249.97060609968577,-124.28126096672199,-249.44399313492193,-118.65361403588011,-240.4184112832239,-249.79339361676884,-247.79864266810876,-128.0524149273481,-129.2731188396142,-250.92642870327828,-124.95087865058609,-250.38735661180806,-123.03376330798675,-124.50846897123843,-382.483356409869,-394.93246426095453,-126.95279992467758,-128.4522386890719,-124.87392946420368,-257.5667962020291,-118.94232741623236,-488.1968736596057,-214.4074795146441,-247.174822702746,-248.67332549425112,-503.58693349322266,-121.16395434089942,-240.17255444020114
0:00:22.424050,0:00:43.521338,0:01:05.967568,0:01:26.986254,0:01:49.127869,0:02:10.395977,0:02:32.371566,0:02:54.186109,0:03:15.846182,0:03:37.664729,0:03:58.792018,0:04:20.931639,0:04:41.757723,0:05:03.778782,0:05:24.583757,0:05:46.659188,0:06:07.637028,0:06:29.700927,0:06:50.558420,0:07:12.666829,0:07:33.775158,0:07:55.652406,0:08:17.450376,0:08:38.800066,0:09:01.024220,0:09:21.812531,0:09:43.748166,0:10:04.825395,0:10:27.195841,0:10:48.097673,0:11:10.299095,0:11:31.579008,0:11:53.540025,0:12:15.003498,0:12:36.467242,0:12:57.856792,0:13:18.910407,0:13:40.590574,0:14:01.461046,0:14:23.151571,0:14:43.647464,0:15:05.472300,0:15:26.142251,0:15:47.964943,0:16:08.604066,0:16:30.193331,0:16:50.763092,0:17:12.427005,0:17:32.922101,0:17:54.582365
